g_id,label,canonical_concept,on_topic,note
G081,noise,title phrase wearables,yes,Фраза из заголовка
G082,mature,carbon capture and storage,yes,CCS с 1996
G083,mature,DC-DC converters,yes,Зрелая
G084,uncertain,molten salt reactor,yes,"Концепция с 1960-х, возрождена стартапами, коммерческих нет"
G085,noise,title phrase wearables,yes,Фраза из заголовка
G086,umbrella,green hydrogen,yes,Массово обсуждаемая зонтичная тема
G087,mature,concentrating solar power,yes,Зрелая
G088,mature,hydrogen fuel cells,yes,Зрелые технологии
G089,mature,telemedicine,yes,Зрелая
G090,umbrella,machine learning,yes,Зонтичный
G091,mature,carbon capture and storage,yes,CCS с 1996
G092,mature,conversational agents,yes,Зрелая
G093,noise,hydrogen storage scheduling,yes,Фраза из заголовка
G094,mature,bayesian neural networks,no,Общий метод
G095,mature,energy storage technology,yes,Зрелые классы
G096,umbrella,carbon materials,yes,Общее
G097,plausible_signal,commercial fusion power,yes,"Стартапы термоядерной генерации (Helion, Realta) — раунды, без коммерческой генерации"
G098,mature,EV charging,yes,Зрелая инфраструктура
G099,mature,CFD,no,Общий метод
G100,mature,compressed air energy storage,yes,CAES с 1978
G101,mature,hydrogen fuel cells,yes,Зрелые технологии
G102,umbrella,digital twin networks 6G,no,"6G, не энергетика"
G103,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G104,noise,title phrase wearables,yes,Фраза из заголовка
G105,mature,robotic surgery,yes,Зрелая
G106,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G107,noise,cobalt ferrite nanocomposites,yes,Материал одной статьи
G108,mature,telemedicine,yes,Зрелая
G109,mature,smart grid,yes,Зрелая
G110,noise,title phrase robotics,yes,Название работы/продукта
G111,mature,carbon capture and storage,yes,CCS с 1996
G112,plausible_signal,direct air capture,yes,"DAC: единичные установки (Climeworks), без массового внедрения"
G113,mature,LSTM,no,Общий метод
G114,mature,genomic prediction,yes,Зрелая
G115,umbrella,renewable energy,yes,Зонтичный
G116,plausible_signal,ammonia energy storage,yes,Аммиак как носитель энергии в микросетях — ранний класс
G117,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G118,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G119,plausible_signal,pangenome graphs,yes,Графовые пангеномы (2023+) — раннее внедрение
G120,umbrella,carbon capture biotech,yes,Общее
G121,umbrella,AI/digital health,yes,Зонтичный
G122,noise,cobalt ferrite nanocomposites,yes,Материал одной статьи
G123,umbrella,nanotechnology,yes,Зонтичный
G124,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G125,noise,title phrase wearables,yes,Фраза из заголовка
G126,mature,energy storage technology,yes,Зрелые классы
G127,noise,digital twin teleoperation,yes,Фраза из заголовка
G128,mature,deep learning methods,yes,Зрелые методы
G129,noise,title phrase materials,yes,Фраза из заголовка
G130,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G131,mature,genome-scale metabolic models,no,Системная биология
G132,noise,halloysite nanotube adsorbents,yes,Материал одной статьи
G133,mature,chemical process technology,yes,Зрелые процессы
G134,mature,carbon capture and storage,yes,CCS с 1996
G135,mature,microgrid,yes,Зрелая
G136,mature,energy storage technology,yes,Зрелые классы
G137,mature,robotic surgery,yes,Зрелая
G138,mature,ML for materials simulation,no,Зрелые методы; не энергетика
G139,noise,title phrase wearables,yes,Фраза из заголовка
G140,mature,energy storage technology,yes,Зрелые классы
G141,mature,electric vehicles,yes,Зрелая
G142,noise,title phrase wearables,yes,Фраза из заголовка
G143,mature,3D bioprinting,yes,Зрелая исследовательская область
G144,mature,imaging physics,no,Не медицина или общие методы
G145,mature,carbon capture and storage,yes,CCS с 1996
G146,mature,telemedicine,yes,Зрелая
G147,mature,ML for materials simulation,no,Зрелые методы; не энергетика
G148,umbrella,machine learning,yes,Зонтичный
G149,mature,general ML methods,no,Общие методы
G150,mature,nuclear waste management,yes,Зрелая область
G151,uncertain,closed-loop drug delivery,yes,Шире искусственной поджелудочной; ранние системы
G152,mature,deep learning methods,yes,Зрелые методы
G153,mature,microgrid,yes,Зрелая
G154,mature,carbon electrodes,yes,Зрелая
G155,uncertain,floating offshore wind,yes,Раннее коммерческое масштабирование
G156,mature,wearable monitoring,yes,Зрелая
G157,noise,on-meter graph ML,yes,Фраза из заголовка
G158,mature,general ML methods,no,Общие методы
G159,mature,digital twin,yes,Зрелая
G160,noise,title phrase wearables,yes,Фраза из заголовка
G161,mature,hydrogen fuel cells,yes,Зрелые технологии
G162,uncertain,geothermal from abandoned wells,yes,Нишевое направление
G163,mature,telemedicine,yes,Зрелая
G164,umbrella,AI/digital health,yes,Зонтичный
G165,plausible_signal,grid-forming converters,yes,Grid-forming преобразователи — раннее внедрение в сетях 2020-х
G166,noise,assisted hemodialysis,yes,Фраза из заголовка
G167,umbrella,green hydrogen,yes,Массово обсуждаемая зонтичная тема
G168,noise,title phrase,yes,Фраза из заголовка
G169,umbrella,AI/digital health,yes,Зонтичный
G170,mature,imaging physics,no,Не медицина или общие методы
G171,mature,ammonia production,yes,Хабер–Бош
G172,mature,ML for materials simulation,no,Зрелые методы; не энергетика
G173,plausible_signal,engineered exosome therapeutics,yes,"Экзосомная терапия — одобрений нет, раунды стартапов"
G174,mature,telemedicine,yes,Зрелая
G175,uncertain,contactless vital signs,yes,Бесконтактный мониторинг — раннее внедрение
G176,mature,chemical process technology,yes,Зрелые процессы
G177,mature,ML for materials simulation,no,Зрелые методы; не энергетика
G178,umbrella,biomaterials,yes,Зонтичный
G179,mature,3D bioprinting,yes,Зрелая исследовательская область
G180,mature,3D bioprinting,yes,Зрелая исследовательская область
G181,mature,AI medical diagnosis,yes,Зрелая (IDx-DR 2018)
G182,umbrella,humanoid robot,yes,Зонтичный
G183,mature,large language model,no,Общая технология
G184,mature,decellularized biomaterials,yes,Продукты на рынке
G185,noise,title phrase robotics,yes,Название работы/продукта
G186,mature,robotic surgery,yes,Зрелая
G187,umbrella,hydrogen technologies,yes,Зонтичный
G188,mature,DC-DC converters,yes,Зрелая
G189,mature,chemical process technology,yes,Зрелые процессы
G190,mature,cloud storage,no,Не медтехнология
G191,mature,ammonia production,yes,Хабер–Бош
G192,umbrella,AI/digital health,yes,Зонтичный
G193,mature,general ML methods,no,Общие методы
G194,umbrella,green hydrogen,yes,Массово обсуждаемая зонтичная тема
G195,uncertain,microneedle patches,yes,Первые коммерческие шаги
G196,mature,conversational agents,yes,Зрелая
G197,umbrella,AI/deep learning,no,Зонтичный
G198,noise,title phrase,yes,Фраза из заголовка
G199,mature,chemical process technology,yes,Зрелые процессы
G200,mature,AI medical diagnosis,yes,Зрелая (IDx-DR 2018)
G201,umbrella,AI/deep learning,no,Зонтичный
G202,plausible_signal,materials foundation models,no,Фундаментальные модели материалов (2024+); не энергетика
G203,noise,title phrase robotics,yes,Название работы/продукта
G204,mature,nanomedicine drug delivery,yes,Наномедицина — зрелая область
G205,noise,moving surface drag model,no,Метод одной статьи
G206,umbrella,controlled nuclear fusion,yes,Общая область с 1950-х
