n_id,label,canonical_concept,on_topic,note
N031,noise,cyber range,yes,"Фраза из заголовка; киберполигоны — зрелый класс"
N032,plausible_signal,LUT-based inference acceleration,yes,"Ускорение инференса на таблицах поиска (T-MAC, LUT Tensor Core ISCA 2025) — ранний класс, несколько групп"
N033,noise,cross-view multimodal vision,yes,"Описание из заголовка одной статьи"
N034,mature,retrieval augmented generation,yes,"RAG с 2020, повсеместно"
N035,uncertain,zero trust federated learning,yes,"Сочетание Zero Trust и федеративного обучения — единичные работы"
N036,noise,AI threat hunting,yes,"Описание из заголовка"
N037,mature,vision-language models,yes,"Зрелый класс"
N038,mature,attention head pruning,yes,"Известная техника с 2019"
N039,uncertain,security-specialized frontier models,yes,"Модели уровня Mythos для кибербезопасности — новый класс 2026, но фраза общая"
N040,uncertain,self-sovereign identity,yes,"Цифровая идентичность на блокчейне (SSI с 2016), внедрение ограниченное"
N041,noise,eye-movement biometrics,yes,"Метод одной статьи; биометрическая аутентификация — финтех"
N042,noise,bayesian nonparametric anomaly detection,no,"Статистический метод одной статьи; не кибербезопасность"
N043,mature,multi-objective reinforcement learning,yes,"Зрелая область RL"
N044,noise,AI threat intelligence architecture,yes,"Описание из заголовка"
N045,mature,identity verification,yes,"Удалённая проверка личности (Onfido, Jumio) — зрелый рынок"
N046,uncertain,on-chain perpetual options,yes,"Amortizing perpetual options: Feinstein 2025 + продолжение 2026; линия одной группы, класс «вечных опционов» с 2021"
N047,mature,AI accelerator chip,yes,"Зрелый класс"
N048,uncertain,runtime enforcement for AI agents,yes,"Контроль исполнения ИИ-агентов — формирующаяся область, фраза из одной статьи"
N049,umbrella,LLM agents,yes,"Зонтичный термин"
N050,noise,adaptive threat defense,yes,"Описание из заголовка"
N051,noise,blockchain user authentication,no,"Метод одной статьи для интернета транспорта; не финтех"
N052,mature,crypto perpetual futures,yes,"Бессрочные фьючерсы с 2016, огромный рынок"
N053,umbrella,blockchain scalability,yes,"Проблемная область, не технология"
N054,noise,decentralised trust mechanisms,yes,"Описание из заголовка обзора"
N055,uncertain,automated exploit generation for smart contracts,yes,"Автосинтез эксплойтов для DeFi (LLM-агенты 2025–26); сам класс AEG старый"
N056,plausible_signal,order-fair consensus,yes,"Справедливое упорядочивание транзакций в консенсусе (Aequitas 2020, Themis) против MEV — ранний класс, несколько групп"
N057,noise,trust-boundary architecture,yes,"Название архитектуры одной статьи"
N058,mature,robo-advisor,yes,"Зрелый рынок"
N059,mature,AI content moderation,no,"Зрелая практика; модерация контента — не кибербезопасность"
N060,plausible_signal,LLM firewall,yes,"LLM-файрволы (Cloudflare Firewall for AI 2024) — есть у организаторов в датасете как класс"
N061,umbrella,generative AI,yes,"Зонтичный термин"
N062,plausible_signal,agentic SOC,yes,"Agentic SOC — ранний рынок 2025 (Exaforce $75M, обзоры Omdia), без массового внедрения"
N063,mature,grammar-constrained decoding,no,"Известная техника LLM-вывода (2023); не кибербезопасность"
N064,noise,threat intelligence entity extraction,yes,"Метод из заголовка одной статьи"
