id,name,area,negative_type,pair_with,criterion,evidence_url,evidence_url_2,search_terms
n15,Интерактивные визуальные CAPTCHA-задания (image and text CAPTCHA challenges),Защита ИИ,fading,50,W3C: больше не эффективны. Боты решают лучше людей,https://www.w3.org/TR/turingtest/,https://www.usenix.org/conference/usenixsecurity23/presentation/searles,"(""image CAPTCHA"" OR ""human verification challenge"" OR ""CAPTCHA solving"")"
n16,Классические SIEM-системы сбора и корреляции журналов событий (SIEM),Защита ИИ,mature,,Legacy SIEM описаны в 10-K CrowdStrike. Внедрение рекомендуют ASD и CISA,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000010/crwd-20260131.htm,https://www.cyber.gov.au/business-government/detecting-responding-to-threats/event-logging/implementing-siem-soar-platforms/implementing-siem-and-soar-platforms-executive-guidance,"(""security information event management"" OR ""log correlation platform"")"
n17,Предотвращение утечек данных на основе политик (data loss prevention / DLP),Защита ИИ,mature,,Контроль CIS 3.13. Традиционная DLP как продуктовая линия в 10-K Netskope,https://www.sec.gov/Archives/edgar/data/2063196/000119312526135011/ck0002063196-20260131.htm,https://cas.docs.cisecurity.org/en/latest/source/Controls3/,"(""data loss prevention"" OR ""content inspection policy"" OR ""data exfiltration control"")"
n18,Аппаратные модули безопасности для хранения криптоключей (hardware security modules / HSM),Защита ИИ,mature,,Стандарт PCI HSM с 2009. Топ-5 вендоров держат 81% рынка,https://listings.pcisecuritystandards.org/documents/PCI_HSM_Security_Requirements_v4.pdf,https://www.gminsights.com/industry-analysis/hardware-security-modules-market,"(""hardware security module"" OR ""cryptographic key storage device"")"
n19,Автоматическое сканирование уязвимостей инфраструктуры (vulnerability scanning),Защита ИИ,mature,,Сканы ASV обязательны по PCI DSS. Выручка Qualys 669 млн долларов,https://www.sec.gov/Archives/edgar/data/1107843/000110784326000008/qlys-20251231.htm,https://www.pcisecuritystandards.org/assessors_and_solutions/approved_scanning_vendors/,"(""vulnerability scanning"" OR ""automated vulnerability assessment"" OR ""network vulnerability scanner"")"
n20,Одноразовые SMS-коды как второй фактор аутентификации (SMS OTP),Защита ИИ,fading,,NIST ограничил SMS-OTP. Регуляторы нескольких стран выводят его из банкинга,https://pages.nist.gov/800-63-4/sp800-63b.html,https://gulfnews.com/business/banking/countries-phasing-out-sms-otps-for-online-banking-security-1.500209725,"(""SMS one-time password"" OR ""SMS two-factor authentication"" OR ""one time passcode delivery"")"
n21,Промышленные роботы-манипуляторы для дуговой сварки и сборки (industrial welding robots),Индустриальный ИИ,mature,30,Стандарт ISO 10218-1 третьей редакции. 542 тысячи установок за 2024 год,https://www.iso.org/standard/73933.html,https://ifr.org/ifr-press-releases/news/global-robot-demand-in-factories-doubles-over-10-years,"(""robotic arc welding"" OR ""teach pendant programming"" OR ""industrial manipulator assembly"")"
n22,Машинное зрение на правилах для автоматической оптической инспекции (rule-based machine vision),Индустриальный ИИ,mature,27,Стандарт EMVA 1288 релиза 4.0. Выручка Cognex 994 млн долларов,https://www.emva.org/standards-technology/emva-1288/,https://www.prnewswire.com/news-releases/cognex-reports-fourth-quarter-2025-results-302685567.html,"(""automated optical inspection"" OR ""rule based machine vision"" OR ""classical image processing inspection"")"
n23,Вибрационный мониторинг состояния вращающегося оборудования (vibration condition monitoring),Индустриальный ИИ,mature,54,Стандарт ISO 20816-3 заменил редакции 2009 года. Выявляет 90% отказов,https://www.iso.org/standard/78311.html,https://www.mdpi.com/2076-3417/12/3/972,"(""vibration condition monitoring"" OR ""rotating machinery vibration analysis"" OR ""vibration based fault diagnosis"")"
n24,MES и SCADA по эталонной модели ISA-95 (manufacturing execution systems),Индустриальный ИИ,mature,29,Части ISA-95 приняты как IEC 62264. Выручка сегмента Rockwell 2.383 млрд,https://www.isa.org/standards-and-publications/isa-standards/isa-95-standard,https://www.businesswire.com/news/home/20251106761417/en/Rockwell-Automation-Reports-Fourth-Quarter-and-Full-Year-2025-Results-Introduces-Fiscal-2026-Guidance,"(""manufacturing execution system"" OR ""SCADA system"" OR ""enterprise control integration"")"
n25,Блокчейн-прослеживаемость товаров и документов в цепях поставок (blockchain supply chain traceability),Индустриальный ИИ,fading,6,Maersk и IBM закрыли TradeLens. Отраслевого консенсуса достичь не удалось,https://www.maersk.com/news/articles/2022/11/29/maersk-and-ibm-to-discontinue-tradelens,https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2025.1503595/full,"(""blockchain supply chain traceability"" OR ""distributed ledger logistics"" OR ""blockchain provenance tracking"")"
n26,Металлический binder jetting для серийного производства деталей (metal binder jetting),Индустриальный ИИ,hype,,После SPAC-оценки 2.5 млрд долларов лидер ушёл в банкротство,https://investors.nano-di.com/press-releases/news-details/2025/Nano-Dimension-Statement-Regarding-Desktop-Metal-Bankruptcy-and-Strategic-Decision-Not-to-Acquire-Assets/default.aspx,https://www.3dnatives.com/en/desktop-metal-files-for-chapter-11-bankruptcy-3007202501/,"(""metal binder jetting"" OR ""binder jet additive manufacturing"" OR ""powder bed binder printing"")"
n27,Полевая шина PROFIBUS DP для цеховой автоматизации (PROFIBUS DP fieldbus),Индустриальный ИИ,fading,,Новых узлов 1 млн за 2025 год. Промышленный Ethernet занял 79%,https://www.profibus.com/newsroom/press-news/strong-foundation-clear-direction-pi-continues-growth-in-automation,https://insights.globalspec.com/article/24948/industrial-ethernet-in-eight-of-10-new-nodes-fieldbus-decline-accelerates-according-to-hms-networks-annual-analysis,"(""fieldbus industrial network"" OR ""PROFIBUS DP"" OR ""industrial serial bus"")"
n28,Частные сети 5G на промышленных площадках (private 5G networks),Индустриальный ИИ,hype,,Внедрение идёт медленнее ожиданий. LTE занимает 51% установленной базы,https://transformainsights.com/blog/private-5g-adoption-slower-that-expected,https://www.fierce-network.com/wireless/gsa-report-shows-normalcy-enterprise-private-networks-predicts-possible-bumps-ahead,"(""private 5G network"" OR ""non-public mobile network"" OR ""industrial private cellular"")"
n29,Роботизированная автоматизация процессов по жёстким правилам (robotic process automation),Индустриальный ИИ,mature,,Терминология закреплена IEEE 2755 в 2017. Выручка UiPath 1.611 млрд,https://standards.ieee.org/ieee/2755/6893/,https://ir.uipath.com/news/detail/431/uipath-reports-fourth-quarter-and-full-year-fiscal-2026-financial-results,"(""robotic process automation"" OR ""rule based workflow automation"" OR ""screen scraping automation"")"
n30,Нашлемная дополненная реальность для цеховых операций (industrial augmented reality headsets),Индустриальный ИИ,fading,,Поставки MR- и VR-гарнитур упали на 42.8%. HoloLens 2 снят с производства,https://my.idc.com/getdoc.jsp?containerId=prUS54033425,https://roadtovr.com/microsoft-hololens-2-discontinued-support-2027-hololens-3/,"(""industrial augmented reality headset"" OR ""head mounted display maintenance"" OR ""smart glasses remote assistance"")"
n31,Двухфазное иммерсионное охлаждение ЦОД на фторированных жидкостях (two-phase immersion cooling),Инфраструктура ИИ,hype,85,3M уходит из PFAS. Однофазное охлаждение останется основным до 2029,https://news.3m.com/2022-12-20-3M-to-Exit-PFAS-Manufacturing-by-the-End-of-2025,https://www.delloro.com/news/data-center-liquid-cooling-market-to-approach-7-billion-by-2029-as-ai-deployments-accelerate/,"(""two phase immersion cooling"" OR ""dielectric fluid cooling"" OR ""liquid immersion data center"")"
n32,Энергонезависимая память 3D XPoint как ярус между DRAM и SSD (3D XPoint storage-class memory),Инфраструктура ИИ,fading,57,Intel свернул производство и списал 559 млн долларов запасов,https://www.intc.com/news-events/press-releases/detail/1563/intel-reports-second-quarter-2022-financial-results,https://www.datacenterdynamics.com/en/news/intel-kills-off-optane-memory-writes-off-559-million-inventory/,"(""3D XPoint memory"" OR ""storage class memory tier"" OR ""persistent memory module"")"
n33,ПЛИС как ускорители инференса в центрах обработки данных (datacenter FPGA accelerators),Инфраструктура ИИ,fading,8,Altera продана вдвое дешевле цены покупки. Операционный убыток 615 млн,https://www.sec.gov/Archives/edgar/data/50863/000119312525079727/d901587dex991.htm,https://www.datacenterdynamics.com/en/news/intel-sells-51-stake-in-altera-to-silver-lake-for-875bn/,"(""FPGA inference accelerator"" OR ""reconfigurable datacenter accelerator"" OR ""FPGA based acceleration"")"
n34,InfiniBand как интерконнект обучающих ИИ-кластеров (InfiniBand interconnect),Инфраструктура ИИ,mature,9,Спецификация IBTA релиза 2.0. Более 400 устройств на плагфесте,https://infinibandta.org/infiniband-trade-association-advances-high-performance-networking-with-new-specification-updates-and-record-plugfest-participation/,https://www.delloro.com/news/ethernet-extends-lead-in-ai-scale-out-networks-despite-strong-infiniband-rebound/,"(""InfiniBand interconnect"" OR ""high performance computing fabric"" OR ""RDMA network fabric"")"
n35,Квантовые вычисления для задач комбинаторной оптимизации (quantum optimization),Инфраструктура ИИ,hype,87,Бенчмарк на реальном железе: практического квантового преимущества нет,https://research.ibm.com/blog/stefan-woerner-optimization-benchmarking,https://arxiv.org/html/2607.11637v1,"(""quantum optimization algorithm"" OR ""quantum annealing optimization"" OR ""variational quantum optimization"")"
n36,Кластеры общего назначения на процессорах без ускорителей (CPU-only compute clusters),Инфраструктура ИИ,fading,,На ускорителях 86.2% производительности TOP500. Без них остаётся 13.8%,https://top500.org/lists/top500/2025/11/highs/,https://www.nextplatform.com/hpc/2025/11/17/modest-hpc-centers-drive-top500-supercomputer-rankings-this-time-around/1696804,"(""CPU only cluster"" OR ""non accelerated supercomputer"" OR ""general purpose processor cluster"")"
n37,Коммутируемые Ethernet-фабрики для обучающих ИИ-кластеров (Ethernet for AI fabrics),Инфраструктура ИИ,mature,,Стандарт IEEE 802.3df на 800 Гбит/с. Две трети продаж коммутаторов,https://standards.ieee.org/ieee/802.3df/11107/,https://www.delloro.com/news/ethernet-more-than-doubles-size-of-infiniband-as-the-leading-fabric-for-ai-scale-out-networks-in-2025/,"(""ethernet fabric AI cluster"" OR ""lossless ethernet datacenter"" OR ""converged ethernet fabric"")"
n38,Оптимизация энергоэффективности ЦОД по метрике PUE (power usage effectiveness),Инфраструктура ИИ,mature,,Средний PUE не меняется шестой год подряд. Опрошено 800 операторов,https://uptimeinstitute.com/about-ui/press-releases/uptimes-15th-annual-global-data-center-survey-results-shows-both-commitment-and-hesitancy,https://www.networkworld.com/article/4036023/data-center-sustainability-efforts-stall-slightly-in-2025.html,"(""power usage effectiveness"" OR ""data center energy efficiency"" OR ""datacenter cooling efficiency"")"
n39,Хранение данных в синтетической ДНК (DNA data storage),Инфраструктура ИИ,hype,,Запись идёт 100 мегабайт в сутки. Продукта на рынке нет,https://www.snia.org/sites/default/files/DNA/SNIA-DNA-Data-Storage-Technology-Review-v1.0.pdf,https://www.blocksandfiles.com/data-protection/2026/01/16/dna-data-storage-when-the-physics-work-but-the-economics-dont/4090361,"(""DNA data storage"" OR ""DNA archival storage"" OR ""oligonucleotide data encoding"")"
n40,Гипервизорная виртуализация как способ изоляции нагрузок (server virtualization),Инфраструктура ИИ,fading,,Вытесняется контейнерами. Kubernetes в продакшене у 82% пользователей,https://www.cncf.io/announcements/2026/01/20/kubernetes-established-as-the-de-facto-operating-system-for-ai-as-production-use-hits-82-in-2025-cncf-annual-cloud-native-survey/,https://cloudnativenow.com/features/cncf-survey-surfaces-widespread-adoption-of-kubernetes-clusters/,"(""server virtualization hypervisor"" OR ""virtual machine isolation"" OR ""hypervisor workload isolation"")"
n41,Сервисные роботы-консультанты и информационные гуманоиды залов обслуживания (guidance and reception robots),Роботы,fading,11,Сегмент гостеприимства упал на 11%. Создатель Pepper ушёл в ликвидацию,https://ifr.org/ifr-press-releases/news/service-robots-see-global-growth-boom,https://www.therobotreport.com/aldebaran-pepper-nao-robots-receivership/,"(""reception robot"" OR ""guidance robot public space"" OR ""social service robot"")"
n42,Самоходные полевые роботы для прополки и обработки посевов (autonomous field crop robots),Роботы,fading,37,Продажи агророботов упали на 6%. Несколько производителей остановили выпуск,https://ifr.org/news/service-robots-see-global-growth-boom/,https://www.futurefarming.com/tech-in-focus/field-robots/challenges-facing-agricultural-robotics-production-halts-and-a-market-shift/,"(""agricultural field robot"" OR ""autonomous weeding robot"" OR ""crop row robot"")"
n43,Коллаборативные роботы с ограничением усилия по ISO/TS 15066 (collaborative robots),Роботы,mature,13,Спецификация ISO/TS 15066 действует с 2016 года. Доля коботов 10.5%,https://www.iso.org/standard/62996.html,https://ifr.org/ifr-press-releases/news/how-robots-work-alongside-humans,"(""collaborative robot"" OR ""force limited robot"" OR ""fenceless robot cell"")"
n44,Консольные системы роботизированной хирургии (robotically assisted surgical systems),Роботы,mature,90,Стандарт IEC 80601-2-77 с поправкой 2023 года. Выполнено 3.15 млн операций,https://www.iso.org/standard/68473.html,https://isrg.intuitive.com/news-releases/news-release-details/intuitive-announces-preliminary-fourth-quarter-and-full-year-5,"(""robot assisted surgery"" OR ""surgical robotic console"" OR ""laparoscopic surgical robot"")"
n45,Телеуправляемые подводные аппараты ROV для морских работ (remotely operated vehicles),Роботы,mature,61,Код практики IMCA ведётся с 1997 года. Загрузка флота 65%,https://www.imca-int.com/resources/technical-library/document/60d8d35a-c55b-ee11-8def-6045bdd2c0c0/,https://investors.oceaneering.com/news/news-details/2026/Oceaneering-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,"(""remotely operated underwater vehicle"" OR ""tethered subsea vehicle"" OR ""work class underwater robot"")"
n46,Автоматические управляемые тележки с навигацией по фиксированным маршрутам (automated guided vehicles),Роботы,fading,,Доля AGV в выручке падает с 33% до 20%. Вытесняются AMR,https://www.iso.org/standard/83545.html,https://interactanalysis.com/mobile-robots-market-outpaces-fixed-automation/,"(""automated guided vehicle"" OR ""fixed path warehouse vehicle"" OR ""magnetic guidance vehicle"")"
n47,Промышленные экзоскелеты для поддержки работника (occupational exoskeletons),Роботы,hype,,Из 49 исследований большинство лабораторные. Длительных внедрений почти нет,https://www.cambridge.org/core/journals/wearable-technologies/article/mapping-the-evidence-on-occupational-exoskeleton-use-for-the-workforce-in-healthcare-social-care-and-industry-a-systematic-scoping-review/BCF0EBA0AB128CD4A167B481D2FA6CB2,https://eprints.soton.ac.uk/506429/2/mapping-the-evidence-on-occupational-exoskeleton-use-for-the-workforce-in-healthcare-social-care-and-industry-a-systematic-scoping-review.pdf,"(""occupational exoskeleton"" OR ""industrial exoskeleton"" OR ""wearable assistive exoskeleton"")"
n48,Автоматизированные склады с кранами-штабелёрами и конвейерами (automated storage and retrieval systems),Роботы,mature,,Выручка Daifuku 660 млрд иен. Стационарная автоматизация растёт на 2.4%,https://www.daifuku.com/ir/assets/FY2025Q4e.pdf,https://interactanalysis.com/mobile-robots-market-outpaces-fixed-automation/,"(""automated storage retrieval system"" OR ""stacker crane warehouse"" OR ""pallet shuttle system"")"
n49,Гуманоидные роботы общего назначения (general purpose humanoid robots),Роботы,hype,,Массовое внедрение остаётся неопределённым. Существующих роботов они не заменят,https://ifr.org/ifr-press-releases/news/humanoid-robots-vision-and-reality-paper-published-by-ifr,https://www.automation.com/article/humanoid-robots-vision-reality-position-paper,"(""humanoid robot"" OR ""general purpose humanoid"" OR ""bipedal service robot"")"
n50,Автономные магистральные грузовики (autonomous trucking),Роботы,hype,,Пройдено 440 тысяч беспилотных миль. К концу года цель 200 грузовиков,https://www.businesswire.com/news/home/20260722856350/en/Aurora-Launches-Second-Generation-Driverless-Trucks-in-U.S.-to-Meet-Customer-Demand,https://ir.aurora.tech/news-events/press-releases/detail/147/aurora-announces-second-quarter-2026-results,"(""autonomous trucking"" OR ""driverless long haul truck"" OR ""self driving freight vehicle"")"
n51,Обмен межбанковскими сообщениями в формате SWIFT MT (SWIFT MT messaging),Финтех,fading,93,Форматы MT103 и MT202 выведены из обращения в ноябре 2025,https://www.iso.org/standard/20022-1,https://paymentexpert.com/2025/11/21/swifts-iso-20022-cutover-the-end-of-mt-and-a-20-year-promise/,"(""financial messaging standard"" OR ""interbank payment message format"" OR ""ISO 20022 migration"")"
n52,Классическая криптография с открытым ключом RSA и ECC в финансовых системах (classical public-key cryptography),Финтех,fading,100,По графику NIST устаревает после 2030 и запрещается после 2035,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,https://thequantuminsider.com/2026/05/08/post-quantum-migration-timelines-government-industry-impact/,"(""elliptic curve cryptography"" OR ""RSA public key cryptosystem"" OR ""classical asymmetric cryptography"")"
n53,Проверка личности по документу и селфи при удалённом онбординге (document and selfie identity verification),Финтех,mature,15,Стандарт ISO/IEC 30107-3 второй редакции. Выручка Mitek 179.7 млн,https://www.iso.org/standard/79520.html,https://www.sec.gov/Archives/edgar/data/807863/000162828025056525/mitk-20250930xexx991xq425e.htm,"(""document identity verification"" OR ""selfie identity matching"" OR ""remote onboarding identity check"")"
n54,Транзакционный мониторинг отмывания на детерминированных правилах (rule-based AML transaction monitoring),Финтех,mature,43,Стандарт FATF из 40 рекомендаций. Подано 4.1 млн сообщений за 2025,https://www.fatf-gafi.org/en/topics/fatf-recommendations.html,https://www.forvismazars.us/forsights/2026/03/suspicious-activity-report-sar-filings-hit-record-in-2025,"(""rule based transaction monitoring"" OR ""anti money laundering screening"" OR ""suspicious activity detection system"")"
n55,Розничные цифровые валюты центральных банков (retail central bank digital currency),Финтех,hype,42,91% центробанков ведут работы. Розничный запуск сделали три страны,https://www.bis.org/publ/bppdf/bispap159.pdf,https://www.atlanticcouncil.org/cbdctracker/,"(""retail digital currency"" OR ""central bank digital currency"")"
n56,Банкинг-как-услуга через небанковских посредников (banking-as-a-service middleware),Финтех,hype,,После банкротства посредника пропало 95 млн долларов клиентских средств,https://www.getevolved.com/media-release/evolve-bank-trust-statement-on-synapse-bankruptcy/,https://fortune.com/2025/03/07/synapse-evolve-mercury-bankruptcy-lawsuits/,"(""banking as a service"" OR ""embedded banking middleware"" OR ""sponsor bank model"")"
n57,Самосуверенная идентичность на децентрализованных идентификаторах (self-sovereign identity),Финтех,hype,,Госпрограмма Кореи набрала лишь 4 млн пользователей с 2022 года,https://www.frontiersin.org/journals/blockchain/articles/10.3389/fbloc.2025.1696955/full,https://arxiv.org/abs/2503.15964,"(""self sovereign identity"" OR ""decentralized identifier wallet"" OR ""digital identity wallet adoption"")"
n58,Квантовое распределение ключей по оптическим линиям (quantum key distribution),Финтех,hype,,Агентства ЕС: пригодна лишь для нишевых сценариев. NCSC не одобряет,https://cyber.gouv.fr/en/publications/jointly-led-international-publications/position-paper-on-quantum-key-distribution/,https://www.ncsc.gov.uk/paper/quantum-security-technologies,"(""quantum key distribution"" OR ""quantum cryptography network"" OR ""entanglement based key exchange"")"
n59,Открытый банкинг через регулируемые интерфейсы (open banking APIs),Финтех,mature,,Пользователей больше 16 млн в Британии. Платежи выросли на 53%,https://www.fca.org.uk/news/news-stories/open-banking-2025-progress,https://www.openbanking.org.uk/news/open-banking-surges-to-15-million-uk-users-as-july-marks-record-adoption/,"(""open banking API"" OR ""account information service"" OR ""payment initiation service"")"
n60,Парольная аутентификация в дистанционном обслуживании (password authentication),Финтех,fading,,Активных ключей доступа 5 млрд. Три четверти пользователей их включили,https://fidoalliance.org/the-state-of-passkeys-2026-global-consumer-and-workforce-report/,https://www.biometricupdate.com/202605/passkeys-now-pervasive-but-passwords-persist-in-enterprise-authentication,"(""password authentication"" OR ""password based login"" OR ""knowledge based credential"")"
