tech_id,name,name_ru,name_en,name_en_manual,name_gloss,name_inline_gloss,tech_key,area,label,negative_type,terms,context_terms,search_terms_manual,anchor_volume,n_attested_names,blind_choice,model_version,prompt_version_norm
s11,App Store для роботов: маркетплейсы навыков/движений,App Store для роботов: маркетплейсы навыков/движений,robotic application platform,,,,robotic application platform,Роботы,1,,"[""robotic application platform""]",[],,12,1,True,yandexgpt-5-pro,v4
s12,"Массовые квадропеды-инспекторы вне «премиум»-сегмента (метро, геотермия, НПЗ)",Массовые квадропеды-инспекторы вне «премиум»-сегмента,quadruped inspection robot,,"метро, геотермия, НПЗ",,quadruped inspection robot,Роботы,1,,"[""quadruped inspection robot""]",[],,20,0,False,yandexgpt-5-pro,v4
s13,Сертификация безопасности физического ИИ как «узкое горлышко» внедрения,Сертификация безопасности физического ИИ как «узкое горлышко» внедрения,robot safety certification,,,,robot safety certification,Роботы,1,,"[""robot safety certification""]",[],,2,1,True,yandexgpt-5-pro,v4
s14,Телеоперационные данные как отдельная индустрия (data-as-a-service для роботов),Телеоперационные данные как отдельная индустрия,robotic teleoperation data,,data-as-a-service для роботов,,robotic teleoperation data,Роботы,1,,"[""robotic teleoperation data""]",[],,2,1,True,yandexgpt-5-pro,v4
s15,Защита онбординга от инъекционных атак и дипфейков (NFC-anchor + двухшаговая liveness),Защита онбординга от инъекционных атак и дипфейков,presentation attack detection,,NFC-anchor + двухшаговая liveness,,presentation attack detection,Финтех,1,,"[""presentation attack detection""]",[],,1331,1,True,yandexgpt-5-pro,v4
s16,NPU внутри батарейных MCU/SoC для массового IoT (не для AI PC),NPU внутри батарейных MCU/SoC для массового IoT,embedded npu,,не для AI PC,,embedded npu,Edge,1,,"[""embedded npu""]",[],,21,2,True,yandexgpt-5-pro,v4
s17,Гибридные event-based сенсоры зрения в серийном автопроме,Гибридные event-based сенсоры зрения в серийном автопроме,hybrid event based vision sensors,,,,hybrid event based vision sensors,Edge,1,,"[""hybrid event based vision sensors""]",[],,9,1,True,yandexgpt-5-pro,v4
s18,Орбитальный edge-компьютинг: инференс на спутниках,Орбитальный edge-компьютинг: инференс на спутниках,satellite edge computing,,,,satellite edge computing,Edge,1,,"[""satellite edge computing""]",[],,424,3,True,yandexgpt-5-pro,v4
s19,Федеративное обучение как инфраструктура «суверенного» приватного развёртывания,Федеративное обучение как инфраструктура «суверенного» приватного развёртывания,federated learning,,,,federated learning,Edge,1,,"[""federated learning""]",[],,68560,2,True,yandexgpt-5-pro,v4
s20,LLM-файрволы на сетевом/edge-уровне (AI runtime gateway),LLM-файрволы на сетевом/edge-уровне,llm firewall,,AI runtime gateway,,llm firewall,Защита ИИ,1,,"[""llm firewall""]",[],,19,1,True,yandexgpt-5-pro,v4
s21,«Самозалечивающаяся» защита от prompt injection для агентных систем,«Самозалечивающаяся» защита от prompt injection для агентных систем,prompt injection defense,,,,prompt injection defense,Защита ИИ,1,,"[""prompt injection defense""]",[],,71,2,True,yandexgpt-5-pro,v4
s22,Автоматизация AI-governance и compliance под EU AI Act (AI-GRC как код),Автоматизация AI-governance и compliance под EU AI Act,eu ai act compliance,,AI-GRC как код,,eu ai act compliance,Защита ИИ,1,,"[""eu ai act compliance""]",[],,170,3,True,yandexgpt-5-pro,v4
s23,Дифференциально-приватные синтетические данные как контроль безопасности обучения ИИ,Дифференциально-приватные синтетические данные как контроль безопасности обучения ИИ,differentially private synthetic data,,,,differentially private synthetic data,Защита ИИ,1,,"[""differentially private synthetic data""]",[],,260,3,True,yandexgpt-5-pro,v4
s24,Конфиденциальный инференс в TEE с удалённой аттестацией и подписанными «receipts»,Конфиденциальный инференс в TEE с удалённой аттестацией и подписанными «receipts»,confidential inference in tee,,,,confidential inference in tee,Защита ИИ,1,,"[""confidential inference in tee""]",[],,1,1,True,yandexgpt-5-pro,v4
s25,Статистические водяные знаки для ТЕКСТА LLM под требования EU AI Act,Статистические водяные знаки для ТЕКСТА LLM под требования EU AI Act,llm watermarking technique,,,,llm watermarking technique,Защита ИИ,1,,"[""llm watermarking technique""]",[],,4,3,True,yandexgpt-5-pro,v4
s26,"Robotics foundation models, обучаемые на данных внутри действующих заводов (а не в лабораториях/на публичных датасетах)","Robotics foundation models, обучаемые на данных внутри действующих заводов",robotics foundation model,,а не в лабораториях/на публичных датасетах,,robotics foundation model,Индустриальный ИИ,1,,"[""robotics foundation model""]",[],,70,2,True,yandexgpt-5-pro,v4
s27,"Vision foundation models для контроля качества, где задача задаётся естественным языком (без разметки под каждый дефект)","Vision foundation models для контроля качества, где задача задаётся естественным языком",vision foundation models,,без разметки под каждый дефект,,vision foundation models,Индустриальный ИИ,1,,"[""vision foundation models""]",[],,1652,1,True,yandexgpt-5-pro,v4
s28,«Робот-геолог»: сенсорная фьюжн-платформа (гиперспектр + XRF + LIBS + 3D) с ML для поиска и оценки руды,«Робот-геолог»: сенсорная фьюжн-платформа с ML для поиска и оценки руды,autonomous mineral exploration,,,гиперспектр + XRF + LIBS + 3D,autonomous mineral exploration,Индустриальный ИИ,1,,"[""autonomous mineral exploration""]",[],,4,1,True,yandexgpt-5-pro,v4
s29,"Агентный ИИ, действующий внутри стека OT (PLC/SCADA/MES/ERP) с журналируемыми действиями и «approval gate» оператора","Агентный ИИ, действующий внутри стека OT с журналируемыми действиями и «approval gate» оператора",industrial ai agent,,,PLC/SCADA/MES/ERP,industrial ai agent,Индустриальный ИИ,1,,"[""industrial ai agent""]",[],,11,1,True,yandexgpt-5-pro,v4
s30,Адаптивная автономная сварка: нейросетевое зрение вместо предварительного сканирования и репрограммирования робота,Адаптивная автономная сварка: нейросетевое зрение вместо предварительного сканирования и репрограммирования робота,vision guided robotic welding,,,,vision guided robotic welding,Индустриальный ИИ,1,,"[""vision guided robotic welding""]",[],,1,1,True,yandexgpt-5-pro,v4
s31,ИИ-операторы виртуальных электростанций: автоматическое трейдинг-планирование BESS на нескольких рынках,ИИ-операторы виртуальных электростанций: автоматическое трейдинг-планирование BESS на нескольких рынках,ai-powered energy trading,,,,ai-powered energy trading,Индустриальный ИИ,1,,"[""ai-powered energy trading""]",[],,5,1,True,yandexgpt-5-pro,v4
s32,Wafer-scale нового поколения: 3D-стек SRAM/DRAM поверх пластины,Wafer-scale нового поколения: 3D-стек SRAM/DRAM поверх пластины,wafer scale integration,,,,wafer scale integration,Инфраструктура ИИ,1,,"[""wafer scale integration""]",[],,731,1,True,yandexgpt-5-pro,v4
s33,ИИ-компиляторы и автоматическая оптимизация инференса как отдельная категория,ИИ-компиляторы и автоматическая оптимизация инференса как отдельная категория,ai compilers,,,,ai compilers,Инфраструктура ИИ,1,,"[""ai compilers""]",[],,148,1,True,yandexgpt-5-pro,v4
s34,Малые модульные реакторы (SMR) как выделенный источник питания ИИ-ЦОД,Малые модульные реакторы как выделенный источник питания ИИ-ЦОД,small modular reactor,,,SMR,small modular reactor,Инфраструктура ИИ,1,,"[""small modular reactor""]",[],,4000,3,True,yandexgpt-5-pro,v4
s35,"Суверенные ИИ-облака, работающие в полностью отключённом (disconnected/air-gapped) режиме","Суверенные ИИ-облака, работающие в полностью отключённом режиме",offline ai infrastructure,,,disconnected/air-gapped,offline ai infrastructure,Инфраструктура ИИ,1,,"[""offline ai infrastructure""]",[],,1,1,True,yandexgpt-5-pro,v4
s36,Дексterity-кисти как самостоятельный компонентный рынок (не часть гуманоида),Дексterity-кисти как самостоятельный компонентный рынок,dexterous robotic hand,,не часть гуманоида,,dexterous robotic hand,Роботы,1,,"[""dexterous robotic hand""]",[],,428,1,False,yandexgpt-5-pro,v4
s37,"Роевая робототехника выходит из лаборатории (сортировка, полевые работы)",Роевая робототехника выходит из лаборатории,swarm robotics,,"сортировка, полевые работы",,swarm robotics,Роботы,1,,"[""swarm robotics""]",[],,3862,3,True,yandexgpt-5-pro,v4
s38,Специализированный edge-кремний под инференс VLA-моделей на борту робота,Специализированный edge-кремний под инференс VLA-моделей на борту робота,edge ai inference chip,,,,edge ai inference chip,Роботы,1,,"[""edge ai inference chip""]",[],,1,1,True,yandexgpt-5-pro,v4
s39,Голосовые ИИ-агенты для взыскания и обслуживания долга на развивающихся рынках,Голосовые ИИ-агенты для взыскания и обслуживания долга на развивающихся рынках,conversational ai debt collection,,,,conversational ai debt collection,Финтех,1,,"[""conversational ai debt collection""]",[],,0,0,False,yandexgpt-5-pro,v4
s40,ИИ-native банковские ядра (core banking OS с агентами внутри),ИИ-native банковские ядра,ai enabled banking system,,core banking OS с агентами внутри,,ai enabled banking system,Финтех,1,,"[""ai enabled banking system""]",[],,11,1,True,yandexgpt-5-pro,v4
s41,Ончейн-скоринг и рейтинги для необеспеченного/недообеспеченного кредитования,Ончейн-скоринг и рейтинги для необеспеченного/недообеспеченного кредитования,blockchain credit scoring,,,,blockchain credit scoring,Финтех,1,,"[""blockchain credit scoring""]",[],,5,2,True,yandexgpt-5-pro,v4
s42,Стейблкоины локальных валют (не-USD) и ончейн-FX между корридорами,Стейблкоины локальных валют и ончейн-FX между корридорами,stablecoin,,,не-USD,stablecoin,Финтех,1,,"[""stablecoin""]",[],,5201,2,True,yandexgpt-5-pro,v4
s43,Федеративное обучение для межбанковского AML/антифрода (без обмена сырыми данными),Федеративное обучение для межбанковского AML/антифрода,federated learning,,без обмена сырыми данными,,federated learning,Финтех,1,,"[""federated learning""]",[],,68560,3,True,yandexgpt-5-pro,v4
s44,Аналоговые compute-in-memory чипы для edge-инференса,Аналоговые compute-in-memory чипы для edge-инференса,edge analog compute in memory,,,,edge analog compute in memory,Edge,1,,"[""edge analog compute in memory""]",[],,2,1,True,yandexgpt-5-pro,v4
s45,"Нейроморфные edge-процессоры, встраиваемые в стандартные EDA/дизайн-потоки","Нейроморфные edge-процессоры, встраиваемые в стандартные EDA/дизайн-потоки",neuromorphic edge processor,,,,neuromorphic edge processor,Edge,1,,"[""neuromorphic edge processor""]",[],,14,3,True,yandexgpt-5-pro,v4
s46,Оркестрация Edge AI на парках из тысяч устройств (control plane для edge-флотов),Оркестрация Edge AI на парках из тысяч устройств,distributed ai orchestration,,control plane для edge-флотов,,distributed ai orchestration,Edge,1,,"[""distributed ai orchestration""]",[],,2,2,True,yandexgpt-5-pro,v4
s47,Фотонные (оптические) процессоры инференса для компактных SWaP-ограниченных систем,Фотонные процессоры инференса для компактных SWaP-ограниченных систем,photonic inference accelerator,,,оптические,photonic inference accelerator,Edge,1,,"[""photonic inference accelerator""]",[],,1,2,True,yandexgpt-5-pro,v4
s48,Machine unlearning как средство ремедиации рисков модели (удаление данных/поведения без переобучения),Machine unlearning как средство ремедиации рисков модели,machine unlearning,,удаление данных/поведения без переобучения,,machine unlearning,Защита ИИ,1,,"[""machine unlearning""]",[],,820,2,True,yandexgpt-5-pro,v4
s49,Интерпретируемость как операционный защитный контроль (interpretability-based safeguards),Интерпретируемость как операционный защитный контроль,interpretability as operational control,,interpretability-based safeguards,,interpretability as operational control,Защита ИИ,1,,"[""interpretability as operational control""]",[],,9,1,True,yandexgpt-5-pro,v4
s50,"Криптографическая верификация трафика агентов (Web Bot Auth, signed agents)",Криптографическая верификация трафика агентов,secure traffic authentication,,"Web Bot Auth, signed agents",,secure traffic authentication,Защита ИИ,1,,"[""secure traffic authentication""]",[],,1,1,True,yandexgpt-5-pro,v4
s51,Криптографическая подпись моделей и AI-SBOM (провенанс цепочки поставок моделей),Криптографическая подпись моделей и AI-SBOM,cryptographic model signature,,провенанс цепочки поставок моделей,,cryptographic model signature,Защита ИИ,1,,"[""cryptographic model signature""]",[],,1,1,True,yandexgpt-5-pro,v4
s52,Мониторинг chain-of-thought для детекции обмана и «scheming» моделей,Мониторинг chain-of-thought для детекции обмана и «scheming» моделей,chain of thought monitoring,,,,chain of thought monitoring,Защита ИИ,1,,"[""chain of thought monitoring""]",[],,28,1,True,yandexgpt-5-pro,v4
s53,Foundation-модели промышленных временных рядов (S-E-F-C: setpoint/effort/feedback/context) и предобучающие корпуса заводских данных,Foundation-модели промышленных временных рядов и предобучающие корпуса заводских данных,industrial time series foundation model,,,S-E-F-C: setpoint/effort/feedback/context,industrial time series foundation model,Индустриальный ИИ,1,,"[""industrial time series foundation model""]",[],,1,1,True,yandexgpt-5-pro,v4
s54,"Акустическая диагностика оборудования на edge: слияние звука, вибрации и режима работы без облака","Акустическая диагностика оборудования на edge: слияние звука, вибрации и режима работы без облака",acoustic condition monitoring,,,,acoustic condition monitoring,Индустриальный ИИ,1,,"[""acoustic condition monitoring""]",[],,89,1,True,yandexgpt-5-pro,v4
s55,"ИИ-управление процессами в полупроводниковом фабе и новые ИИ-сенсоры процесса (плазменная спектроскопия, in-line метрология)",ИИ-управление процессами в полупроводниковом фабе и новые ИИ-сенсоры процесса,ai process control,,"плазменная спектроскопия, in-line метрология",,ai process control,Индустриальный ИИ,1,,"[""ai process control""]",[],,12,2,True,yandexgpt-5-pro,v4
s56,"Edge-to-cloud оркестрация инференса (телеком-грид, on-device offload)",Edge-to-cloud оркестрация инференса,edge cloud computing orchestration,,"телеком-грид, on-device offload",,edge cloud computing orchestration,Инфраструктура ИИ,1,,"[""edge cloud computing orchestration""]",[],,2,3,True,yandexgpt-5-pro,v4
s57,Ёмкостно-ориентированный инференс: CXL-пулы памяти и LPDDR вместо HBM,Ёмкостно-ориентированный инференс: CXL-пулы памяти и LPDDR вместо HBM,cxl memory pools,,,,cxl memory pools,Инфраструктура ИИ,1,,"[""cxl memory pools""]",[],,7,2,True,yandexgpt-5-pro,v4
s58,Децентрализованные / распределённые сети инференса,Децентрализованные / распределённые сети инференса,decentralized inference networks,,,,decentralized inference networks,Инфраструктура ИИ,1,,"[""decentralized inference networks""]",[],,2,3,True,yandexgpt-5-pro,v4
s59,Орбитальные дата-центры / инференс в космосе,Орбитальные дата-центры / инференс в космосе,space data center,,,,space data center,Инфраструктура ИИ,1,,"[""space data center""]",[],,30,1,True,yandexgpt-5-pro,v4
s60,Фотонные/оптические процессоры для инференса (вычисления светом),Фотонные/оптические процессоры для инференса,photonic inference accelerator,,вычисления светом,,photonic inference accelerator,Инфраструктура ИИ,1,,"[""photonic inference accelerator""]",[],,1,2,True,yandexgpt-5-pro,v4
s61,Дешёвые массовые автономные подводные аппараты как «постоянная сеть» океана,Дешёвые массовые автономные подводные аппараты как «постоянная сеть» океана,low cost autonomous underwater vehicles,,,,low cost autonomous underwater vehicles,Роботы,1,,"[""low cost autonomous underwater vehicles""]",[],,81,1,True,yandexgpt-5-pro,v4
s62,Страхование роботов и андеррайтинг по телеметрии; RaaS-контракты с SLA по аптайму,Страхование роботов и андеррайтинг по телеметрии; RaaS-контракты с SLA по аптайму,robot insurance,,,,robot insurance,Роботы,1,,"[""robot insurance""]",[],,23,1,True,yandexgpt-5-pro,v4
s63,Тактильно-обусловленные VLA-модели (touch-in-the-loop манипуляция),Тактильно-обусловленные VLA-модели,tactile vision language action model,,touch-in-the-loop манипуляция,,tactile vision language action model,Роботы,1,,"[""tactile vision language action model""]",[],,0,0,False,yandexgpt-5-pro,v4
s64,Эгоцентрическое человеческое видео как «дешёвый» источник обучающих данных (human-to-robot transfer),Эгоцентрическое человеческое видео как «дешёвый» источник обучающих данных,first-person video data,,human-to-robot transfer,,first-person video data,Роботы,1,,"[""first-person video data""]",[],,9,2,True,yandexgpt-5-pro,v4
s65,Purpose-Bound Money (PBM) — программируемые целевые/условные деньги,Purpose-Bound Money — программируемые целевые/условные деньги,conditional payment system,,,PBM,conditional payment system,Финтех,1,,"[""conditional payment system""]",[],,7,1,True,yandexgpt-5-pro,v4
s66,Браузерно-нативные автономные ИИ-агенты комплаенса (KYC/AML «агентная рабочая сила»),Браузерно-нативные автономные ИИ-агенты комплаенса,autonomous browser agent,,KYC/AML «агентная рабочая сила»,,autonomous browser agent,Финтех,1,,"[""autonomous browser agent""]",[],,2,0,False,yandexgpt-5-pro,v4
s67,"Машинные микроплатежи по HTTP 402 (оплата за API-вызов, стриминговые платежи)",Машинные микроплатежи по HTTP 402,machine micropayments,,"оплата за API-вызов, стриминговые платежи",,machine micropayments,Финтех,1,,"[""machine micropayments""]",[],,6,2,True,yandexgpt-5-pro,v4
s68,Переиспользуемые ZK-верифицируемые credentials для KYC (zk-KYC),Переиспользуемые ZK-верифицируемые credentials для KYC,zero knowledge proof credentials,,zk-KYC,,zero knowledge proof credentials,Финтех,1,,"[""zero knowledge proof credentials""]",[],,4,2,True,yandexgpt-5-pro,v4
s69,Протоколы авторизации платежей ИИ-агентов (x402 / AP2 / ACP / MPP),Протоколы авторизации платежей ИИ-агентов,agent payment authorization protocol,,x402 / AP2 / ACP / MPP,,agent payment authorization protocol,Финтех,1,,"[""agent payment authorization protocol""]",[],,0,0,False,yandexgpt-5-pro,v4
s70,Страхование ответственности за действия ИИ-агентов (новый класс полиса),Страхование ответственности за действия ИИ-агентов,artificial intelligence liability insurance,,новый класс полиса,,artificial intelligence liability insurance,Финтех,1,,"[""artificial intelligence liability insurance""]",[],,7,1,True,yandexgpt-5-pro,v4
s71,Токенизированные паи денежных фондов (MMF) как мобильное обеспечение,Токенизированные паи денежных фондов как мобильное обеспечение,tokenized money market fund shares,,,MMF,tokenized money market fund shares,Финтех,1,,"[""tokenized money market fund shares""]",[],,1,1,True,yandexgpt-5-pro,v4
s72,"Агентные (multi-step) AI-workflow, исполняемые локально на NPU ПК","Агентные AI-workflow, исполняемые локально на NPU ПК",edge ai on npu,,,multi-step,edge ai on npu,Edge,1,,"[""edge ai on npu""]",[],,6,1,True,yandexgpt-5-pro,v4
s73,Дообучение и мульти-LoRA персонализация прямо на смартфоне,Дообучение и мульти-LoRA персонализация прямо на смартфоне,on device fine tuning,,,,on device fine tuning,Edge,1,,"[""on device fine tuning""]",[],,183,1,True,yandexgpt-5-pro,v4
s74,Локальные SLM-рантаймы как «анти-Big-Tech» альтернатива на ноутбуках и смартфонах,Локальные SLM-рантаймы как «анти-Big-Tech» альтернатива на ноутбуках и смартфонах,on device small language model,,,,on device small language model,Edge,1,,"[""on device small language model""]",[],,17,2,True,yandexgpt-5-pro,v4
s75,Маршрутизирующий слой «устройство ↔ облако» как отдельный продукт (hybrid inference routing),Маршрутизирующий слой «устройство ↔ облако» как отдельный продукт,edge to cloud routing,,hybrid inference routing,,edge to cloud routing,Edge,1,,"[""edge to cloud routing""]",[],,7,1,True,yandexgpt-5-pro,v4
s76,Сертифицированная защита от отравления памяти агентов и RAG-хранилищ (memory poisoning defense),Сертифицированная защита от отравления памяти агентов и RAG-хранилищ,memory poisoning defense,,memory poisoning defense,,memory poisoning defense,Защита ИИ,1,,"[""memory poisoning defense""]",[],,1,2,True,yandexgpt-5-pro,v4
s77,Сканирование бэкдоров в open-weight LLM «в масштабе» (backdoored model detection),Сканирование бэкдоров в open-weight LLM «в масштабе»,large language model backdoor scan,,backdoored model detection,,large language model backdoor scan,Защита ИИ,1,,"[""large language model backdoor scan""]",[],,3,2,True,yandexgpt-5-pro,v4
s78,LLM-генерация кода ПЛК на IEC 61131-3 Structured Text с замыканием на компилятор и формальную верификацию,LLM-генерация кода ПЛК на IEC 61131-3 Structured Text с замыканием на компилятор и формальную верификацию,iec 61131-3 code generation,,,,iec 61131-3 code generation,Индустриальный ИИ,1,,"[""iec 61131-3 code generation""]",[],,2,1,True,yandexgpt-5-pro,v4
s79,Агентная генерация технологической документации: P&ID и схемы процессов из текстового описания в машиночитаемом DEXPI,Агентная генерация технологической документации: P&ID и схемы процессов из текстового описания в машиночитаемом DEXPI,process documentation automation,,,,process documentation automation,Индустриальный ИИ,1,,"[""process documentation automation""]",[],,1,2,True,yandexgpt-5-pro,v4
s80,"Нейроморфные/событийные edge-чипы для непрерывного мониторинга промышленного оборудования (мВт-класс, без облака)",Нейроморфные/событийные edge-чипы для непрерывного мониторинга промышленного оборудования,neuromorphic edge processor,,"мВт-класс, без облака",,neuromorphic edge processor,Индустриальный ИИ,1,,"[""neuromorphic edge processor""]",[],,14,2,True,yandexgpt-5-pro,v4
s81,Самообучающиеся контуры управления: RL прямо на промышленном контроллере/в живом цеху (а не в симуляторе),Самообучающиеся контуры управления: RL прямо на промышленном контроллере/в живом цеху,on-device reinforcement learning,,а не в симуляторе,,on-device reinforcement learning,Индустриальный ИИ,1,,"[""on-device reinforcement learning""]",[],,15,2,True,yandexgpt-5-pro,v4
s82,Федеративное обучение между площадками/предприятиями: модели учатся на данных нескольких заводов без их передачи,Федеративное обучение между площадками/предприятиями: модели учатся на данных нескольких заводов без их передачи,federated learning,,,,federated learning,Индустриальный ИИ,1,,"[""federated learning""]",[],,68560,3,True,yandexgpt-5-pro,v4
s83,"3D-стековая память-вычислитель как альтернатива HBM (3DIMC, стековый DRAM)",3D-стековая память-вычислитель как альтернатива HBM,3d stacked memory compute,,"3DIMC, стековый DRAM",,3d stacked memory compute,Инфраструктура ИИ,1,,"[""3d stacked memory compute""]",[],,1,1,True,yandexgpt-5-pro,v4
s84,Аналоговые вычисления в памяти (analog in-memory computing),Аналоговые вычисления в памяти,analog in memory computing,,analog in-memory computing,,analog in memory computing,Инфраструктура ИИ,1,,"[""analog in memory computing""]",[],,459,3,True,yandexgpt-5-pro,v4
s85,"Внутрикристальное микрофлюидное охлаждение (каналы, вытравленные в кремнии)",Внутрикристальное микрофлюидное охлаждение,on-chip microfluidic cooling,,"каналы, вытравленные в кремнии",,on-chip microfluidic cooling,Инфраструктура ИИ,1,,"[""on-chip microfluidic cooling""]",[],,5,3,True,yandexgpt-5-pro,v4
s86,"Кремний, спроектированный под агентный ИИ (длинный контекст, KV-cache, low-latency decode)","Кремний, спроектированный под агентный ИИ",silicon for ai agents,,"длинный контекст, KV-cache, low-latency decode",,silicon for ai agents,Инфраструктура ИИ,1,,"[""silicon for ai agents""]",[],,1,1,True,yandexgpt-5-pro,v4
s87,Сверхпроводящие / криогенные вычисления для ИИ-ЦОД,Сверхпроводящие / криогенные вычисления для ИИ-ЦОД,superconducting computing,,,,superconducting computing,Инфраструктура ИИ,1,,"[""superconducting computing""]",[],,156,2,True,yandexgpt-5-pro,v4
s88,Simulation-first стеки с zero-shot переносом (обучение полностью в симуляции),Simulation-first стеки с zero-shot переносом,zero shot transfer learning,,обучение полностью в симуляции,,zero shot transfer learning,Роботы,1,,"[""zero shot transfer learning""]",[],,261,3,True,yandexgpt-5-pro,v4
s89,"«Мягкие робо-клетки»: физический интеллект, вшитый в сам материал","«Мягкие робо-клетки»: физический интеллект, вшитый в сам материал",soft robotic cells,,,,soft robotic cells,Роботы,1,,"[""soft robotic cells""]",[],,11,3,True,yandexgpt-5-pro,v4
s90,"Медицинские микророботы, доходящие до клиники","Медицинские микророботы, доходящие до клиники",medical microrobots,,,,medical microrobots,Роботы,1,,"[""medical microrobots""]",[],,345,3,True,yandexgpt-5-pro,v4
s91,Know Your Agent (KYA) — верифицируемая идентичность и делегированные полномочия ИИ-агентов,Know Your Agent — верифицируемая идентичность и делегированные полномочия ИИ-агентов,verified identity ai agent,,,KYA,verified identity ai agent,Финтех,1,,"[""verified identity ai agent""]",[],,1,1,False,yandexgpt-5-pro,v4
s92,Бенчмарки и стресс-тесты LLM-агентов для трейдинга (в т.ч. состязательные рынки),Бенчмарки и стресс-тесты LLM-агентов для трейдинга,large language model benchmarks,,в т.ч. состязательные рынки,,large language model benchmarks,Финтех,1,,"[""large language model benchmarks""]",[],,162,3,True,yandexgpt-5-pro,v4
s93,Депозитные токены банков на публичных блокчейнах,Депозитные токены банков на публичных блокчейнах,tokenized bank deposits,,,,tokenized bank deposits,Финтех,1,,"[""tokenized bank deposits""]",[],,11,1,True,yandexgpt-5-pro,v4
s94,Confidential computing на слабых edge-устройствах (TEE + удалённая аттестация на Cortex-M),Confidential computing на слабых edge-устройствах,confidential edge computing,,TEE + удалённая аттестация на Cortex-M,,confidential edge computing,Edge,1,,"[""confidential edge computing""]",[],,4,3,True,yandexgpt-5-pro,v4
s95,In-sensor / processing-in-pixel вычисления (инференс внутри пиксельной матрицы),In-sensor / processing-in-pixel вычисления,processing in pixel,,инференс внутри пиксельной матрицы,,processing in pixel,Edge,1,,"[""processing in pixel""]",[],,3386,3,True,yandexgpt-5-pro,v4
s96,Спекулятивный декодинг с выгрузкой веса во флеш-память смартфона,Спекулятивный декодинг с выгрузкой веса во флеш-память смартфона,speculative decoding,,,,speculative decoding,Edge,1,,"[""speculative decoding""]",[],,285,1,True,yandexgpt-5-pro,v4
s97,Биогибридные приводы на живой мышечной ткани,Биогибридные приводы на живой мышечной ткани,biohybrid actuators,,,,biohybrid actuators,Роботы,1,,"[""biohybrid actuators""]",[],,218,2,True,yandexgpt-5-pro,v4
